"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774753697991659902","Mon Apr 01 11:11:11 +0000 2024","0","@Gerindra Selamat berbuka puasa mindra","1774756389971443803","","Gerindra","in","","0","0","0","https://x.com/AtikAti90342156/status/1774756389971443803","1231143615721639936","AtikAti90342156"
"1774755737727897921","Mon Apr 01 11:08:35 +0000 2024","1","PDIP Isyaratkan Siap Koalisi dengan Gerindra dan Golkar dalam Pilkada Serentak 2024 https://t.co/txquBNDJ1a","1774755737727897921","","","in","","0","0","0","https://x.com/VIVAcoid/status/1774755737727897921","41730943","VIVAcoid"
"1774754591244185658","Mon Apr 01 11:04:02 +0000 2024","0","Anakmu @prabowo buat apa disitu ?? ini urusab negara / pribadi ?? jawan klean dulu jabatan apa anakmu sok sokan ikut ?? @Gerindra bisa jelaskan kale","1774754591244185658","","","in","Surga / Neraka 🧟👽🪽","0","0","0","https://x.com/bejosps/status/1774754591244185658","321357041","bejosps"
"1774714763349749972","Mon Apr 01 11:03:50 +0000 2024","0","@ariana_gerindra aku ikut doja cat di pks","1774754540929380690","","ariana_gerindra","in","suku asli dreamflux reef","0","0","0","https://x.com/oizym/status/1774754540929380690","1683689731044048896","oizym"
"1774753697991659902","Mon Apr 01 11:00:29 +0000 2024","35","Azan Magrib telah berkumandang untuk wilayah Jakarta dan sekitarnya selamat berbuka puasa bagi yang menjalankan ya! Salam #IndonesiaRaya","1774753697991659902","","","in","Indonesia Raya ","0","9","0","https://x.com/Gerindra/status/1774753697991659902","397673651","Gerindra"
"1774753588213895367","Mon Apr 01 11:00:03 +0000 2024","2","Waketum Gerindra Habiburokhman mengatakan kunjungan pemenang pilpres Prabowo Subianto merupakan persiapannya menjalin hubungan baik dengan negara-negara jika nanti dilantik sebagai presiden. ~N #PrabowoSubianto #Gerindra #China https://t.co/5TZqGBLWFS","1774753588213895367","https://pbs.twimg.com/media/GKEevYFbkAA1LqZ.jpg","","in","Jakarta","0","1","0","https://x.com/kompascom/status/1774753588213895367","23343960","kompascom"
"1774676417420374275","Mon Apr 01 10:54:42 +0000 2024","4","@feylazyaw @gibran_tweet Coba diliat .. ada perwakilan Lurah dan Dinastinya ga ?? Kalau Gerindra gabung sama PDIP ya kan emang dah jelas arahnya buat jadi kekuatan anti Lurah Masa ga paham sih ??! https://t.co/Wju6amlCww","1774752242664681535","https://pbs.twimg.com/media/GKEvwXxa0AA0v5K.jpg","feylazyaw","in","Bermuda Triangle","0","1","0","https://x.com/StefanAntonio__/status/1774752242664681535","1529491450605768704","StefanAntonio__"
"1774751238770622498","Mon Apr 01 10:50:43 +0000 2024","0","Wacana Pertemuan Megawati-Prabowo Gerindra Ungkap Persahabatan Keduanya hingga Pesan 'Tak Boleh Serang Ibu Mega' - JCC Network https://t.co/fbAQutcTon","1774751238770622498","","","in","Jakarta","0","0","0","https://x.com/jcc_network/status/1774751238770622498","1725579139690962945","jcc_network"
"1774711173847691650","Mon Apr 01 10:48:33 +0000 2024","0","@ariana_gerindra ANJIM INI ARI YA","1774750693318127837","","ariana_gerindra","in","Digital Artist","0","0","0","https://x.com/acherlone/status/1774750693318127837","1469972868804923396","acherlone"
"1774745888789008525","Mon Apr 01 10:44:53 +0000 2024","0","@ariana_gerindra @sunshinekim22 pecahkan saja lampunya biar ramai","1774749769833021476","","ariana_gerindra","in","legal/he.","0","0","0","https://x.com/skyflimm/status/1774749769833021476","1216238538829647872","skyflimm"
"1774500706218877003","Mon Apr 01 10:43:34 +0000 2024","1","@sandyuda15 @vwexcellent @Nathanaels1611 @a12un Kalo Gerindra majuin si Iwan sih ane rasa disitulah peluang. Iwan gagal jadi Bupati Bogor walau sementara tapi kan waktu jadi Plt bisa dinilai juga dia terlalu banyak kompromi ama kesalahan apalagi jadi Bupati. Udah keliatan banget ya Golkar pasang Jaro Ade bisa win lah mas","1774749441591066720","","FelixSGL1","in","Jakarta","0","0","0","https://x.com/FelixSGL1/status/1774749441591066720","2862109627","FelixSGL1"
